Repository,Repository_owner,Repository_fullname,Is_fork,Parent,Stars,Watchers,Forks,Description,Language,Languages,Topic,Contributors,Open_issues,Open_pull_requests,License,Created,Last_update
freeCodeCamp,freeCodeCamp,freeCodeCamp/freeCodeCamp,False,,364382,8438,31657,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,TypeScript,"['TypeScript', 'JavaScript', 'CSS', 'Dockerfile', 'EJS', 'HTML', 'Shell', 'Less']","['careers', 'certification', 'community', 'curriculum', 'd3', 'education', 'freecodecamp', 'hacktoberfest', 'javascript', 'learn-to-code', 'math', 'nodejs', 'nonprofits', 'programming', 'react', 'teachers']",397,202,63,LICENSE.md,2014-12-24 17:49:19,2023-04-13 11:34:26
free-programming-books,EbookFoundation,EbookFoundation/free-programming-books,False,,275897,9647,54742,:books: Freely available programming books,,[],"['books', 'education', 'hacktoberfest', 'list', 'resource']",430,39,12,LICENSE,2013-10-11 06:50:37,2023-04-13 11:51:42
996.ICU,996icu,996icu/996.ICU,False,,265541,4271,21423,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,,[],[],406,16736,19,LICENSE,2019-03-26 07:31:14,2023-04-13 10:22:53
coding-interview-university,jwasham,jwasham/coding-interview-university,False,,254556,8563,67056,A complete computer science study plan to become a software engineer.,,[],"['algorithm', 'algorithms', 'coding-interview', 'coding-interviews', 'computer-science', 'data-structures', 'interview', 'interview-prep', 'interview-preparation', 'programming-interviews', 'software-engineering', 'study-plan']",278,57,13,LICENSE.txt,2016-06-06 02:34:12,2023-04-13 11:52:11
awesome,sindresorhus,sindresorhus/awesome,False,,248931,7496,25393,😎 Awesome lists about all kinds of interesting topics,,[],"['awesome', 'awesome-list', 'lists', 'resources', 'unicorns']",437,70,44,license,2014-07-11 13:42:37,2023-04-13 11:51:50
developer-roadmap,kamranahmedse,kamranahmedse/developer-roadmap,False,,236732,6875,33632,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",Astro,"['Astro', 'JavaScript', 'TypeScript', 'CSS']","['angular-roadmap', 'backend-roadmap', 'blockchain-roadmap', 'computer-science', 'dba-roadmap', 'developer-roadmap', 'devops-roadmap', 'frontend-roadmap', 'go-roadmap', 'java-roadmap', 'javascript-roadmap', 'nodejs-roadmap', 'python-roadmap', 'qa-roadmap', 'react-roadmap', 'roadmap', 'software-architect-roadmap', 'vue-roadmap']",469,351,118,license,2017-03-15 13:45:52,2023-04-13 11:55:39
public-apis,public-apis,public-apis/public-apis,False,,235883,3829,26800,A collective list of free APIs,Python,"['Python', 'Shell']","['api', 'apis', 'dataset', 'development', 'free', 'list', 'lists', 'open-source', 'public', 'public-api', 'public-apis', 'resources', 'software']",433,181,139,LICENSE,2016-03-20 23:49:42,2023-04-13 11:51:56
system-design-primer,donnemartin,donnemartin/system-design-primer,False,,217505,6476,38669,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,Python,"['Python', 'Shell']","['design', 'design-patterns', 'design-system', 'development', 'interview', 'interview-practice', 'interview-questions', 'programming', 'python', 'system', 'web', 'web-application', 'webapp']",110,372,197,LICENSE.txt,2017-02-26 16:15:28,2023-04-13 11:45:35
react,facebook,facebook/react,False,,205739,6634,42874,The library for web and native user interfaces,JavaScript,"['JavaScript', 'HTML', 'CSS', 'C++', 'TypeScript', 'CoffeeScript', 'C', 'Shell', 'Python', 'Makefile']","['declarative', 'frontend', 'javascript', 'library', 'react', 'ui']",426,1234,275,LICENSE,2013-05-24 16:15:54,2023-04-13 11:17:14
vue,vuejs,vuejs/vue,False,,203147,6007,33586,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",TypeScript,"['TypeScript', 'JavaScript', 'HTML', 'CSS', 'Shell']","['framework', 'frontend', 'javascript', 'vue']",349,629,264,LICENSE,2013-07-29 03:24:51,2023-04-13 11:46:53
